Words,Count,Adjusted_Freq,Valence,Subjectivity,,
North,1,8.40548E-05,0,0,,
unknown,9,0.000756493,-0.1,0.6,,
adopted,4,0.000336219,0,0,,
mal,1,8.40548E-05,0,0,,
½,29,0.002437589,0,0,,
final,9,0.000756493,0,1,,
prone,1,8.40548E-05,0,0,,
DUI,12,0.001008658,0,0,,
Actual,1,8.40548E-05,0,0.1,,
completed,6,0.000504329,0,0,,
environmental,2,0.00016811,0,0,,
fuzzy,1,8.40548E-05,0,0,,
overwhelming,2,0.00016811,0.5,1,,
babys,1,8.40548E-05,0,0,,
punctured,1,8.40548E-05,0,0,,
visited,2,0.00016811,0,0,,
13xweek,1,8.40548E-05,0,0,,
FALSE,16,0.001344877,-0.4,0.6,,
trusting,1,8.40548E-05,0,0,,
comfortable,5,0.000420274,0.4,0.8,,
gentle,1,8.40548E-05,0.2,0.8,,
Other,3,0.000252164,-0.125,0.375,,
have,2,0.00016811,0,0,,
disturbing,1,8.40548E-05,-0.5,0.8,,
unbearable,3,0.000252164,0,0,,
afraid,15,0.001260822,-0.6,0.9,,
skillful,1,8.40548E-05,0,0,,
able,107,0.008993864,0.5,0.625,,
mid,4,0.000336219,0,0,,
pivotal,1,8.40548E-05,0.5,0.8,,
neighboring,1,8.40548E-05,0,0,,
5,1,8.40548E-05,0,0,,
upset,2,0.00016811,0,0,,
Claremore,2,0.00016811,0,0,,
Oxycodone,4,0.000336219,0,0,,
occasion,2,0.00016811,0,0,,
skinny,2,0.00016811,0,0,,
biked,1,8.40548E-05,0,0,,
tearful,11,0.000924603,0,0,,
parked,2,0.00016811,0,0,,
12XYear,1,8.40548E-05,0,0,,
12x,1,8.40548E-05,0,0,,
rough,2,0.00016811,-0.1,0.4,,
trivial,1,8.40548E-05,0,0,,
12oz,1,8.40548E-05,0,0,,
hopeful,11,0.000924603,0,0,,
local,18,0.001512986,0,0,,
distressful,6,0.000504329,0,0,,
coworker,2,0.00016811,0,0,,
joint,59,0.004959233,0,0,,
122,1,8.40548E-05,0,0,,
familial,1,8.40548E-05,0,0,,
Once,2,0.00016811,0,0,,
unauthorized,11,0.000924603,0,0,,
shy,7,0.000588384,-0.5,0.5,,
married,35,0.002941918,0.25,0.25,,
dangerous,5,0.000420274,-0.6,0.9,,
Lexapro,3,0.000252164,0,0,,
groggy,1,8.40548E-05,0,0,,
freeze,1,8.40548E-05,0,0,,
unmedicated,3,0.000252164,0,0,,
accused,1,8.40548E-05,0,0,,
momgrandma,1,8.40548E-05,0,0,,
desperate,1,8.40548E-05,-0.6,1,,
progressive,1,8.40548E-05,0,0,,
Protective,1,8.40548E-05,0,0,,
PT,2,0.00016811,0,0,,
placed,1,8.40548E-05,0,0,,
clearing,1,8.40548E-05,0,0,,
closed,2,0.00016811,-0.1,0.1,,
routine,10,0.000840548,0,0,,
frustrated,4,0.000336219,-0.7,0.2,,
perfect,2,0.00016811,1,1,,
onetime,2,0.00016811,0,0,,
Diagnosed,1,8.40548E-05,0,0,,
Stepfather,1,8.40548E-05,0,0,,
optional,1,8.40548E-05,0,0,,
hits,1,8.40548E-05,0,0,,
4subject,1,8.40548E-05,0,0,,
splotchy,1,8.40548E-05,0,0,,
fulfilled,1,8.40548E-05,0,0,,
etc,2,0.00016811,0,0,,
Meth,8,0.000672438,0,0,,
6xyear,1,8.40548E-05,0,0,,
teasing,3,0.000252164,0,0,,
Moderate,6,0.000504329,0,0.7,,
tremendous,1,8.40548E-05,0.333333333,1,,
decent,2,0.00016811,0.166666667,0.666666667,,
29year,1,8.40548E-05,0,0,,
willing,2,0.00016811,0.25,0.75,,
homosexual,1,8.40548E-05,0,0,,
controlled,3,0.000252164,0,0,,
halfmaternal,1,8.40548E-05,0,0,,
250mg,1,8.40548E-05,0,0,,
finished,3,0.000252164,0,0,,
tense,6,0.000504329,-0.333333333,0.5,,
consecutive,3,0.000252164,0,0,,
general,7,0.000588384,0.05,0.5,,
present,19,0.001597041,0,0,,
main,2,0.00016811,0.166666667,0.333333333,,
abandoned,2,0.00016811,0,0,,
fearful,10,0.000840548,-0.9,1,,
age34,1,8.40548E-05,0,0,,
nonprescibed,1,8.40548E-05,0,0,,
CDS,1,8.40548E-05,0,0,,
wild,1,8.40548E-05,0.1,0.4,,
valedictorian,3,0.000252164,0,0,,
1512,1,8.40548E-05,0,0,,
chaotic,4,0.000336219,0,0,,
helped,1,8.40548E-05,0,0,,
dual,1,8.40548E-05,0,0,,
undiagnosed,1,8.40548E-05,0,0,,
colostomy,1,8.40548E-05,0,0,,
Becky,1,8.40548E-05,0,0,,
cross,1,8.40548E-05,0,0,,
defiant,1,8.40548E-05,0,0,,
adverse,2,0.00016811,0,0,,
fallopian,1,8.40548E-05,0,0,,
forgedinvalid,1,8.40548E-05,0,0,,
twelfth,1,8.40548E-05,0,0,,
difficult,89,0.007480878,-0.5,1,,
injured,4,0.000336219,0,0,,
Third,1,8.40548E-05,0,0,,
drink,3,0.000252164,0,0,,
preteen,1,8.40548E-05,0,0,,
breech,3,0.000252164,0,0,,
soph,1,8.40548E-05,0,0,,
off,15,0.001260822,0,0,,
fighting,11,0.000924603,0,0,,
audio,1,8.40548E-05,0,0,,
fetal,1,8.40548E-05,0,0,,
excessive,4,0.000336219,-0.25,1,,
finical,1,8.40548E-05,0,0,,
domestic,14,0.001176767,0,0.1,,
otherswitness,1,8.40548E-05,0,0,,
2XMonth,1,8.40548E-05,0,0,,
distant,3,0.000252164,-0.1,0.35,,
rapid,1,8.40548E-05,0,0,,
residential,5,0.000420274,0,0,,
arrest,12,0.001008658,-0.05,0,,
other,195,0.016390687,-0.125,0.375,,
attractive,1,8.40548E-05,0.8,1,,
wet,3,0.000252164,-0.1,0.4,,
warrant,1,8.40548E-05,0,0,,
smart,4,0.000336219,0.214285714,0.642857143,,
identical,2,0.00016811,0,0,,
Misty,1,8.40548E-05,0,0,,
increased,8,0.000672438,0,0,,
neardeath,1,8.40548E-05,0,0,,
crushed,1,8.40548E-05,-0.1,0.1,,
Drug,2,0.00016811,0,0,,
historic,1,8.40548E-05,0,0,,
necessary,1,8.40548E-05,0,1,,
like,2,0.00016811,0,0,,
perpetual,1,8.40548E-05,0,0,,
admitted,1,8.40548E-05,0,0,,
therapeutic,2,0.00016811,0,0,,
shed,1,8.40548E-05,0,0,,
scared,9,0.000756493,0,0,,
gustnado,1,8.40548E-05,0,0,,
supportive,13,0.001092712,0.5,1,,
leery,1,8.40548E-05,0,0,,
traumatic,18,0.001512986,0,0,,
OSU,2,0.00016811,0,0,,
14th,8,0.000672438,0,0,,
Oxycontin,1,8.40548E-05,0,0,,
masked,1,8.40548E-05,0,0,,
1xweek,1,8.40548E-05,0,0,,
blurry,1,8.40548E-05,0,0,,
regain,1,8.40548E-05,0,0,,
slight,1,8.40548E-05,-0.166666667,0.166666667,,
combative,1,8.40548E-05,0,0,,
caringloving,1,8.40548E-05,0,0,,
51010mg,1,8.40548E-05,0,0,,
actual,5,0.000420274,0,0.1,,
spilled,1,8.40548E-05,0,0,,
compatible,2,0.00016811,0,0,,
introduced,1,8.40548E-05,0,0,,
UA,1,8.40548E-05,0,0,,
own,69,0.005799781,0.6,1,,
gymnastic,1,8.40548E-05,0,0,,
chronic,4,0.000336219,0,0,,
female,13,0.001092712,0,0.166666667,,
lawful,1,8.40548E-05,0,0,,
MyrnaBiological,1,8.40548E-05,0,0,,
additional,20,0.001681096,0,0,,
adolescent,3,0.000252164,0,0,,
noticed,3,0.000252164,0,0,,
continental,1,8.40548E-05,0,0,,
inner,2,0.00016811,0,0.166666667,,
uncontrollable,1,8.40548E-05,0,0,,
hx,1,8.40548E-05,0,0,,
cosmopolitan,1,8.40548E-05,0,0.1,,
triggered,1,8.40548E-05,0,0,,
36th,1,8.40548E-05,0,0,,
neutral,5,0.000420274,0,0,,
eat,2,0.00016811,0,0,,
wish,1,8.40548E-05,0,0,,
centerboot,1,8.40548E-05,0,0,,
converted,1,8.40548E-05,0,0,,
WIR,1,8.40548E-05,0,0,,
ex,4,0.000336219,0,0,,
obese,1,8.40548E-05,0,0,,
inadequate,1,8.40548E-05,0,0,,
fleeting,4,0.000336219,0,0,,
mutual,3,0.000252164,0,0,,
deadly,4,0.000336219,-0.2,0.4,,
45,2,0.00016811,0,0,,
midwifery,1,8.40548E-05,0,0,,
agoraphobia,1,8.40548E-05,0,0,,
recentlytrouble,1,8.40548E-05,0,0,,
Memorable,1,8.40548E-05,0.5,1,,
gifted,3,0.000252164,0.5,1,,
Lost,2,0.00016811,0,0,,
living,18,0.001512986,0,0,,
xanax,2,0.00016811,0,0,,
closesubject,1,8.40548E-05,0,0,,
South,1,8.40548E-05,0,0,,
parttime,4,0.000336219,0,0,,
prevalent,2,0.00016811,0,0,,
atheist,1,8.40548E-05,0,0,,
persistent,1,8.40548E-05,0,0,,
Private,1,8.40548E-05,0,0.375,,
Spanish,2,0.00016811,0,0,,
rural,1,8.40548E-05,0,0,,
8th,43,0.003614357,0,0,,
